epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,516.815,3.07238,2.96768,2.91345,0.76826,0.56259,0.69412,0.36079,3.27803,2.40075,2.69774,0.00029225,0.00029225,0.00029225
71,526.794,2.67044,2.49909,2.62103,0.7162,0.5965,0.6829,0.37546,3.15876,2.54505,2.66928,0.0002675,0.0002675,0.0002675
72,533.767,2.69314,2.28692,2.64123,0.69083,0.58908,0.66718,0.34689,3.3645,2.89207,2.75552,0.00024275,0.00024275,0.00024275
73,540.64,2.59033,2.14811,2.56535,0.71268,0.56667,0.67147,0.34697,3.39205,2.74096,2.79168,0.000218,0.000218,0.000218
74,547.468,2.68979,2.09873,2.58888,0.71374,0.58933,0.67766,0.36671,3.28905,2.53963,2.74027,0.00019325,0.00019325,0.00019325
75,554.321,2.64081,2.07102,2.60044,0.74406,0.56382,0.6672,0.35031,3.3058,2.48663,2.7477,0.0001685,0.0001685,0.0001685
76,561.123,2.56867,2.02958,2.54757,0.76889,0.56061,0.67583,0.36766,3.19024,2.60077,2.72139,0.00014375,0.00014375,0.00014375
77,567.978,2.60887,1.97812,2.55106,0.74163,0.57409,0.6771,0.36343,3.31083,2.65658,2.76279,0.000119,0.000119,0.000119
78,574.854,2.58135,2.00328,2.53352,0.79561,0.55152,0.69391,0.37425,3.20498,2.49206,2.70562,9.425e-05,9.425e-05,9.425e-05
79,581.714,2.52417,1.96356,2.54359,0.79625,0.54848,0.67773,0.36706,3.21279,2.4442,2.70114,6.95e-05,6.95e-05,6.95e-05
80,588.57,2.59229,1.94436,2.53852,0.70177,0.62424,0.68846,0.36353,3.20447,2.47831,2.70855,4.475e-05,4.475e-05,4.475e-05
